Name,AUID,Coords,Const,Type,Period,Mag
"OGLE-BLG-ECL-342428","--","18 10 10.32 -29 08 15.2","Sgr","E","0.315255","19.072 (1.413) Ic"
"OGLE-BLG-ECL-342450","--","18 10 10.48 -26 08 47.7","Sgr","E","0.428318","19.118 (1.148) Ic"
"OGLE-BLG-ECL-342474","--","18 10 10.66 -25 54 15.9","Sgr","E","0.812739","17.772 (1.255) Ic"
"OGLE-BLG-ECL-342522","--","18 10 10.99 -30 21 46.2","Sgr","E","0.317792","18.705 (1.081) Ic"
"OGLE-BLG-ECL-342526","--","18 10 11.00 -30 12 06.7","Sgr","E","0.319552","19.052 (1.091) Ic"
"OGLE-BLG-ECL-342533","--","18 10 11.04 -25 48 22.0","Sgr","E","6.152541","19.024 (1.005) Ic"
"OGLE-BLG-ECL-342536","--","18 10 11.08 -33 46 59.1","Sgr","E","0.300281","19.191 (1.121) Ic"
"OGLE-BLG-ECL-342544","--","18 10 11.10 -25 10 45.4","Sgr","E","2.374539","18.737 (1.457) Ic"
"OGLE-BLG-ECL-342576","--","18 10 11.38 -25 57 50.6","Sgr","E","0.351920","19.414 (1.251) Ic"
"OGLE-BLG-ECL-342577","--","18 10 11.39 -32 41 28.1","Sgr","E","0.350683","19.541 (1.041) Ic"
"OGLE-BLG-ECL-342621","--","18 10 11.76 -30 23 34.8","Sgr","E","0.399653","19.217 (1.211) Ic"
"OGLE-BLG-ECL-342667","--","18 10 12.21 -24 45 15.1","Sgr","E","0.491707","19.679 (1.226) Ic"
"OGLE-BLG-ECL-342725","--","18 10 12.59 -27 34 42.5","Sgr","EC","0.332669","18.782 (1.148) Ic"
"OGLE-BLG-ECL-342758","--","18 10 12.75 -25 11 08.6","Sgr","E","3.598784","17.914 (1.009) Ic"
"OGLE-BLG-ECL-342793","--","18 10 12.91 -27 51 01.1","Sgr","E","0.320071","19.642 (1.114) Ic"
"OGLE-BLG-ECL-342799","--","18 10 12.94 -25 34 17.1","Sgr","E","0.355151","19.351 (1.124) Ic"
"OGLE-BLG-ECL-342818","--","18 10 13.04 -29 27 17.5","Sgr","E","0.855452","19.535 (1.304) Ic"
"OGLE-BLG-ECL-342830","--","18 10 13.13 -31 51 23.5","Sgr","E","0.682859","18.746 (1.239) Ic"
"OGLE-BLG-ECL-342868","--","18 10 13.38 -27 48 47.4","Sgr","E","0.317205","19.105 (1.178) Ic"
"OGLE-BLG-ECL-342871","--","18 10 13.39 -25 19 21.5","Sgr","E","4.583635","17.371 (1.137) Ic"
"OGLE-BLG-ECL-342916","--","18 10 13.74 -28 56 27.3","Sgr","E","0.306815","19.442 (1.298) Ic"
"OGLE-BLG-ECL-342921","--","18 10 13.77 -26 34 59.0","Sgr","E","0.388624","19.420 (1.038) Ic"
"OGLE-BLG-ECL-342956","--","18 10 13.99 -27 15 08.9","Sgr","E","5.115064","16.418 (1.375) Ic"
"OGLE-BLG-ECL-342991","--","18 10 14.23 -29 56 52.4","Sgr","E","1.274179","18.212 (1.456) Ic"
"OGLE-BLG-ECL-342996","--","18 10 14.26 -27 45 16.0","Sgr","E","0.610566","18.434 (1.037) Ic"
"OGLE-BLG-ECL-343022","--","18 10 14.49 -29 56 47.9","Sgr","E","0.322207","18.709 (1.048) Ic"
"OGLE-BLG-ECL-343029","--","18 10 14.55 -31 05 32.5","Sgr","E","0.987578","18.720 (1.276) Ic"
"OGLE-BLG-ECL-343046","--","18 10 14.70 -29 35 36.8","Sgr","E","0.287376","19.499 (1.144) Ic"
"OGLE-BLG-ECL-343051","--","18 10 14.72 -32 08 57.0","Sgr","E","0.437745","19.787 (1.245) Ic"
"OGLE-BLG-ECL-343063","--","18 10 14.78 -31 24 38.6","Sgr","E","0.351798","19.326 (1.028) Ic"
"OGLE-BLG-ECL-343094","--","18 10 15.05 -30 21 49.6","Sgr","E","4.670723","19.422 (1.115) Ic"
"OGLE-BLG-ECL-343105","--","18 10 15.12 -26 20 27.9","Sgr","E","0.474407","18.159 (1.434) Ic"
"OGLE-BLG-ECL-343167","--","18 10 15.58 -25 33 42.3","Sgr","E","0.819806","17.988 (1.016) Ic"
"OGLE-BLG-ECL-343215","--","18 10 15.97 -25 41 37.2","Sgr","E","0.395045","19.754 (1.029) Ic"
"OGLE-BLG-ECL-343219","--","18 10 15.98 -27 37 14.5","Sgr","E","1.066593","17.610 (1.005) Ic"
"OGLE-BLG-ECL-343243","--","18 10 16.16 -29 30 45.5","Sgr","E","0.770172","18.317 (1.169) Ic"
"OGLE-BLG-ECL-343269","--","18 10 16.32 -31 06 53.8","Sgr","E","0.294439","19.319 (1.074) Ic"
"OGLE-BLG-ECL-343302","--","18 10 16.53 -28 27 08.5","Sgr","E","0.399050","18.367 (1.421) Ic"
"OGLE-BLG-ECL-343308","--","18 10 16.59 -31 30 55.4","Sgr","E","0.355381","19.019 (1.016) Ic"
"OGLE-BLG-ECL-343317","--","18 10 16.67 -33 24 38.8","Sgr","E","3.254577","16.923 (1.875) Ic"
"OGLE-BLG-ECL-343327","--","18 10 16.72 -24 59 31.5","Sgr","E","0.383947","19.164 (1.291) Ic"
"OGLE-BLG-ECL-343328","--","18 10 16.76 -34 06 14.2","Sgr","E","0.438292","18.993 (1.137) Ic"
"OGLE-BLG-ECL-343338","--","18 10 16.83 -27 45 29.3","Sgr","E","2.441401","15.973 (1.026) Ic"
"OGLE-BLG-ECL-343342","--","18 10 16.87 -31 10 27.7","Sgr","E","2.120338","16.820 (1.458) Ic"
"OGLE-BLG-ECL-343362","--","18 10 16.94 -27 20 46.3","Sgr","EC","0.384224","18.711 (1.014) Ic"
"OGLE-BLG-ECL-343363","--","18 10 16.94 -27 18 14.2","Sgr","E","0.393702","18.994 (1.256) Ic"
"OGLE-BLG-ECL-343385","--","18 10 17.16 -28 38 57.8","Sgr","E","0.373805","19.036 (1.059) Ic"
"OGLE-BLG-ECL-343400","--","18 10 17.27 -29 06 36.6","Sgr","E","0.318440","19.471 (1.024) Ic"
"OGLE-BLG-ECL-343409","--","18 10 17.38 -32 13 20.2","Sgr","E","0.280239","19.644 (1.324) Ic"
"OGLE-BLG-ECL-343421","--","18 10 17.44 -33 16 50.1","Sgr","E","0.739834","19.636 (1.158) Ic"
"OGLE-BLG-ECL-343465","--","18 10 17.69 -30 18 32.7","Sgr","E","0.411772","19.123 (1.215) Ic"
"OGLE-BLG-ECL-343500","--","18 10 17.95 -27 19 13.5","Sgr","E","0.352722","19.111 (1.345) Ic"
"OGLE-BLG-ECL-343509","--","18 10 17.99 -28 22 50.6","Sgr","E","0.356332","19.109 (1.390) Ic"
"OGLE-BLG-ECL-343537","--","18 10 18.16 -25 43 34.8","Sgr","E","0.654786","18.597 (1.330) Ic"
"OGLE-BLG-ECL-343539","--","18 10 18.21 -27 48 40.2","Sgr","E","3.206379","16.921 (1.341) Ic"
"OGLE-BLG-ECL-343633","--","18 10 18.89 -27 47 04.0","Sgr","E","0.679155","19.136 (1.037) Ic"
"OGLE-BLG-ECL-343650","--","18 10 18.98 -26 45 48.9","Sgr","E","0.687339","19.417 (1.141) Ic"
"OGLE-BLG-ECL-343654","--","18 10 19.00 -29 41 56.8","Sgr","E","1.046809","14.548 (1.372) Ic"
"OGLE-BLG-ECL-343670","--","18 10 19.12 -30 29 40.3","Sgr","E","0.323879","19.432 (1.104) Ic"
"OGLE-BLG-ECL-343689","--","18 10 19.28 -25 41 39.4","Sgr","E","0.390281","19.726 (1.232) Ic"
"OGLE-BLG-ECL-343794","--","18 10 19.91 -27 06 22.6","Sgr","E","0.350800","19.482 (1.101) Ic"
"OGLE-BLG-ECL-343799","--","18 10 19.94 -29 21 27.2","Sgr","E","2.591667","18.070 (1.120) Ic"
"OGLE-BLG-ECL-343812","--","18 10 20.04 -27 17 34.5","Sgr","E","0.332017","19.406 (1.146) Ic"
"OGLE-BLG-ECL-343819","--","18 10 20.13 -31 17 20.0","Sgr","E","4.324670","15.895 (1.515) Ic"
"OGLE-BLG-ECL-343847","--","18 10 20.35 -25 53 43.9","Sgr","EA","8.321762","16.328 (1.298) Ic"
"OGLE-BLG-ECL-343848","--","18 10 20.36 -26 18 37.9","Sgr","E","0.409964","18.834 (1.307) Ic"
"OGLE-BLG-ECL-343911","--","18 10 20.83 -25 53 45.9","Sgr","EA","0.894614","19.856 (1.237) Ic"
"OGLE-BLG-ECL-343919","--","18 10 20.93 -28 25 31.1","Sgr","E","0.314014","19.604 (1.064) Ic"
"OGLE-BLG-ECL-343932","--","18 10 21.01 -27 29 24.5","Sgr","E","2.868089","15.222 (1.553) Ic"
"OGLE-BLG-ECL-343933","--","18 10 21.02 -29 05 40.4","Sgr","E","0.483659","19.156 (1.111) Ic"
"OGLE-BLG-ECL-343964","--","18 10 21.29 -29 38 45.3","Sgr","E","2.082873","17.342 (1.193) Ic"
"OGLE-BLG-ECL-343966","--","18 10 21.31 -29 38 30.3","Sgr","E","0.639989","19.012 (1.115) Ic"
"OGLE-BLG-ECL-343997","--","18 10 21.51 -29 10 22.3","Sgr","E","0.340196","19.195 (1.014) Ic"
"OGLE-BLG-ECL-344004","--","18 10 21.53 -29 22 27.4","Sgr","E","2.704128","19.237 (1.112) Ic"
"OGLE-BLG-ECL-344089","--","18 10 22.10 -26 01 08.5","Sgr","E","0.297700","19.902 (1.157) Ic"
"OGLE-BLG-ECL-344161","--","18 10 22.56 -25 07 24.2","Sgr","E","0.551147","18.628 (1.453) Ic"
"OGLE-BLG-ECL-344177","--","18 10 22.68 -28 35 54.1","Sgr","E","0.386220","19.543 (1.407) Ic"
"OGLE-BLG-ECL-344190","--","18 10 22.75 -26 15 05.4","Sgr","E","0.308499","18.303 (1.006) Ic"
"OGLE-BLG-ECL-344191","--","18 10 22.76 -29 37 27.6","Sgr","E","0.334083","19.509 (1.190) Ic"
"OGLE-BLG-ECL-344197","--","18 10 22.80 -28 34 23.4","Sgr","E","0.443250","18.867 (1.366) Ic"
"OGLE-BLG-ECL-344205","--","18 10 22.82 -25 19 24.6","Sgr","E","0.904564","18.154 (1.507) Ic"
"OGLE-BLG-ECL-344209","--","18 10 22.86 -32 13 02.9","Sgr","E","0.461113","19.661 (1.036) Ic"
"OGLE-BLG-ECL-344218","--","18 10 22.91 -27 28 50.8","Sgr","E","0.425572","19.007 (1.101) Ic"
"OGLE-BLG-ECL-344237","--","18 10 23.00 -27 42 34.1","Sgr","E","0.298440","19.462 (1.134) Ic"
"OGLE-BLG-ECL-344251","--","18 10 23.09 -28 11 57.0","Sgr","E","0.471755","19.484 (1.206) Ic"
"OGLE-BLG-ECL-344344","--","18 10 23.83 -28 08 50.4","Sgr","E","0.300236","19.809 (1.072) Ic"
"OGLE-BLG-ECL-344352","--","18 10 23.90 -32 10 50.6","Sgr","E","1.466465","17.830 (1.532) Ic"
"OGLE-BLG-ECL-344395","--","18 10 24.30 -27 12 34.0","Sgr","E","0.412083","19.261 (1.465) Ic"
"OGLE-BLG-ECL-344398","--","18 10 24.32 -25 19 42.2","Sgr","E","2.353078","17.797 (1.224) Ic"
"OGLE-BLG-ECL-344459","--","18 10 24.78 -28 45 43.6","Sgr","E","0.732581","19.233 (1.341) Ic"
"OGLE-BLG-ECL-344483","--","18 10 24.93 -26 14 51.0","Sgr","E","0.456048","19.684 (1.098) Ic"
"OGLE-BLG-ECL-344491","--","18 10 24.98 -26 13 38.6","Sgr","E","0.412983","18.985 (1.131) Ic"
"OGLE-BLG-ECL-344500","--","18 10 25.05 -26 33 26.2","Sgr","E","0.892182","19.206 (1.354) Ic"
"OGLE-BLG-ECL-344514","--","18 10 25.16 -25 09 45.7","Sgr","E","1.150508","18.842 (1.916) Ic"
"OGLE-BLG-ECL-344584","--","18 10 25.74 -25 11 20.1","Sgr","E","0.440354","19.448 (1.208) Ic"
"OGLE-BLG-ECL-344586","--","18 10 25.77 -31 34 48.8","Sgr","E","0.342038","18.956 (1.023) Ic"
"OGLE-BLG-ECL-344589","--","18 10 25.80 -25 22 01.0","Sgr","E","1.104572","19.697 (1.427) Ic"
"OGLE-BLG-ECL-344597","--","18 10 25.84 -29 09 16.8","Sgr","EC","0.254558","19.015 (1.221) Ic"
"OGLE-BLG-ECL-344655","--","18 10 26.23 -29 27 55.0","Sgr","E","0.409663","18.983 (1.044) Ic"
"OGLE-BLG-ECL-344661","--","18 10 26.30 -27 23 51.6","Sgr","E","0.305377","19.461 (1.110) Ic"
"OGLE-BLG-ECL-344690","--","18 10 26.54 -32 04 47.1","Sgr","E","0.309139","19.177 (1.203) Ic"
"OGLE-BLG-ECL-344742","--","18 10 26.84 -25 21 40.1","Sgr","E","5.326709","17.349 (1.290) Ic"
"OGLE-BLG-ECL-344749","--","18 10 26.88 -25 50 57.5","Sgr","EW","0.341721","19.452 (1.012) Ic"
"OGLE-BLG-ECL-344751","--","18 10 26.91 -30 38 53.7","Sgr","E","7.324046","19.033 (1.734) Ic"
"OGLE-BLG-ECL-344769","--","18 10 27.00 -29 18 33.8","Sgr","E","0.376692","18.845 (1.312) Ic"
"OGLE-BLG-ECL-344809","--","18 10 27.29 -33 36 28.7","Sgr","E","0.290744","19.316 (1.309) Ic"
"OGLE-BLG-ECL-344821","--","18 10 27.39 -28 46 59.8","Sgr","E","3.871494","16.611 (1.141) Ic"
"OGLE-BLG-ECL-344853","--","18 10 27.60 -32 46 33.4","Sgr","E","0.312776","19.328 (1.291) Ic"
"OGLE-BLG-ECL-344858","--","18 10 27.63 -32 41 02.7","Sgr","E","0.291131","18.937 (1.383) Ic"
"OGLE-BLG-ECL-344859","--","18 10 27.65 -31 04 23.4","Sgr","E","2.123973","16.983 (1.372) Ic"
"OGLE-BLG-ECL-344875","--","18 10 27.75 -32 24 38.0","Sgr","E","3.798145","13.374 (1.606) Ic"
"OGLE-BLG-ECL-344905","--","18 10 27.94 -27 23 15.5","Sgr","E","1.412702","17.682 (1.030) Ic"
"OGLE-BLG-ECL-344939","--","18 10 28.16 -31 12 32.3","Sgr","E","0.296252","19.393 (1.001) Ic"
"OGLE-BLG-ECL-344964","--","18 10 28.26 -29 35 22.7","Sgr","E","0.379923","18.669 (1.039) Ic"
"OGLE-BLG-ECL-344965","--","18 10 28.27 -27 39 35.8","Sgr","E","0.309641","19.593 (1.286) Ic"
"OGLE-BLG-ECL-345002","--","18 10 28.52 -29 39 26.8","Sgr","E","0.379321","19.466 (1.185) Ic"
"OGLE-BLG-ECL-345045","--","18 10 28.88 -31 52 31.2","Sgr","E","1.044480","18.196 (1.002) Ic"
"OGLE-BLG-ECL-345062","--","18 10 29.01 -25 01 25.9","Sgr","E","0.451740","19.540 (1.101) Ic"
"OGLE-BLG-ECL-345064","--","18 10 29.02 -28 16 47.5","Sgr","E","0.363865","19.584 (1.215) Ic"
"OGLE-BLG-ECL-345070","--","18 10 29.10 -32 58 44.2","Sgr","E","0.336547","19.159 (1.215) Ic"
"OGLE-BLG-ECL-345103","--","18 10 29.32 -32 35 04.6","Sgr","E","2.709959","19.885 (1.245) Ic"
"OGLE-BLG-ECL-345136","--","18 10 29.50 -32 09 36.0","Sgr","E","2.210862","17.446 (1.061) Ic"
"OGLE-BLG-ECL-345175","--","18 10 29.76 -26 12 23.5","Sgr","EA","4.433334","18.139 (1.826) Ic"
"OGLE-BLG-ECL-345178","--","18 10 29.79 -28 35 02.6","Sgr","E","0.360280","19.210 (1.099) Ic"
"OGLE-BLG-ECL-345190","--","18 10 29.90 -28 01 31.0","Sgr","E","3.491450","16.380 (1.537) Ic"
"OGLE-BLG-ECL-345208","--","18 10 30.07 -31 57 31.9","Sgr","E","0.285689","18.815 (1.287) Ic"
"OGLE-BLG-ECL-345221","--","18 10 30.14 -30 11 00.1","Sgr","E","4.068859","14.681 (1.662) Ic"
"OGLE-BLG-ECL-345260","--","18 10 30.40 -26 28 46.0","Sgr","E","0.762047","18.956 (1.233) Ic"
"OGLE-BLG-ECL-345262","--","18 10 30.41 -29 52 39.5","Sgr","E","0.350286","19.117 (1.054) Ic"
"OGLE-BLG-ECL-345283","--","18 10 30.54 -32 27 25.5","Sgr","E","1.255753","16.017 (1.062) Ic"
"OGLE-BLG-ECL-345287","--","18 10 30.60 -30 22 42.5","Sgr","E","1.980063","16.852 (1.344) Ic"
"OGLE-BLG-ECL-345309","--","18 10 30.80 -30 01 54.5","Sgr","E","0.400337","18.531 (1.136) Ic"
"OGLE-BLG-ECL-345333","--","18 10 30.89 -25 44 41.3","Sgr","E","6.165035","18.201 (1.506) Ic"
"OGLE-BLG-ECL-345366","--","18 10 31.10 -26 04 06.4","Sgr","E","1.655231","16.125 (1.692) Ic"
"OGLE-BLG-ECL-345371","--","18 10 31.13 -27 06 45.1","Sgr","E","0.457634","19.481 (1.064) Ic"
"OGLE-BLG-ECL-345426","--","18 10 31.48 -27 08 54.2","Sgr","E","0.341667","19.483 (1.056) Ic"
"OGLE-BLG-ECL-345434","--","18 10 31.52 -25 23 08.1","Sgr","E","28.895266","15.050 (1.102) Ic"
"OGLE-BLG-ECL-345455","--","18 10 31.64 -26 26 04.2","Sgr","EA","1.356622","17.075 (1.032) Ic"
"OGLE-BLG-ECL-345464","--","18 10 31.71 -29 14 37.5","Sgr","E","0.797778","19.579 (1.172) Ic"
"OGLE-BLG-ECL-345492","--","18 10 31.86 -25 43 59.3","Sgr","E","0.390958","18.667 (1.011) Ic"
"OGLE-BLG-ECL-345501","--","18 10 31.90 -28 28 20.9","Sgr","E","1.087729","18.862 (1.124) Ic"
"OGLE-BLG-ECL-345531","--","18 10 32.12 -28 13 13.6","Sgr","E","0.356852","19.358 (1.181) Ic"
"OGLE-BLG-ECL-345532","--","18 10 32.13 -29 39 07.7","Sgr","E","0.305124","19.404 (1.428) Ic"
"OGLE-BLG-ECL-345579","--","18 10 32.42 -32 53 38.7","Sgr","E","0.753620","19.258 (1.272) Ic"
"OGLE-BLG-ECL-345698","--","18 10 33.25 -31 12 34.4","Sgr","E","2.055762","16.352 (1.584) Ic"
"OGLE-BLG-ECL-345703","--","18 10 33.28 -29 57 01.7","Sgr","E","1.702456","16.919 (1.001) Ic"
"OGLE-BLG-ECL-345713","--","18 10 33.36 -27 46 31.9","Sgr","E","0.523625","18.994 (1.064) Ic"
"OGLE-BLG-ECL-345724","--","18 10 33.44 -31 20 53.5","Sgr","E","3.676997","16.977 (1.200) Ic"
"OGLE-BLG-ECL-345760","--","18 10 33.69 -25 25 35.8","Sgr","E","1.849113","17.969 (1.262) Ic"
"OGLE-BLG-ECL-345762","--","18 10 33.70 -27 27 20.2","Sgr","E","0.756438","19.717 (1.327) Ic"
"OGLE-BLG-ECL-345769","--","18 10 33.74 -30 52 43.5","Sgr","E","1.807248","17.463 (1.334) Ic"
"OGLE-BLG-ECL-345783","--","18 10 33.85 -29 21 27.5","Sgr","E","0.267080","19.766 (1.473) Ic"
"OGLE-BLG-ECL-345808","--","18 10 34.08 -28 32 35.2","Sgr","E","6.431510","16.063 (1.469) Ic"
"OGLE-BLG-ECL-345819","--","18 10 34.14 -25 08 52.2","Sgr","E","1.778147","18.998 (1.050) Ic"
"OGLE-BLG-ECL-345848","--","18 10 34.31 -27 47 29.6","Sgr","E","3.348812","17.326 (1.245) Ic"
"OGLE-BLG-ECL-345869","--","18 10 34.44 -26 05 40.9","Sgr","E","1.801843","16.502 (1.662) Ic"
"OGLE-BLG-ECL-345896","--","18 10 34.59 -24 59 29.9","Sgr","E","1.294567","18.352 (1.576) Ic"
"OGLE-BLG-ECL-345931","--","18 10 34.87 -29 46 30.1","Sgr","E","0.354929","19.265 (1.191) Ic"
"OGLE-BLG-ECL-345956","--","18 10 35.02 -29 41 50.4","Sgr","E","0.344622","18.965 (1.115) Ic"
"OGLE-BLG-ECL-345964","--","18 10 35.04 -26 36 58.4","Sgr","E","0.397980","19.196 (1.015) Ic"
"OGLE-BLG-ECL-345976","--","18 10 35.10 -30 12 33.6","Sgr","E","0.308689","19.329 (1.001) Ic"
"OGLE-BLG-ECL-345977","--","18 10 35.10 -26 52 45.4","Sgr","E","0.933573","19.347 (2.147) Ic"
"OGLE-BLG-ECL-346027","--","18 10 35.48 -26 32 15.4","Sgr","E","0.699164","19.418 (1.436) Ic"
"OGLE-BLG-ECL-346032","--","18 10 35.49 -26 56 18.6","Sgr","E","0.354634","19.819 (1.011) Ic"
"OGLE-BLG-ECL-346036","--","18 10 35.52 -29 20 49.8","Sgr","E","2.177252","15.826 (1.433) Ic"
"OGLE-BLG-ECL-346040","--","18 10 35.55 -25 39 14.4","Sgr","E","0.254653","18.985 (1.207) Ic"
"OGLE-BLG-ECL-346053","--","18 10 35.62 -32 33 19.9","Sgr","E","1.118341","17.173 (1.290) Ic"
"OGLE-BLG-ECL-346077","--","18 10 35.76 -30 02 53.0","Sgr","E","2.930525","16.416 (1.647) Ic"
"OGLE-BLG-ECL-346139","--","18 10 36.14 -27 19 34.9","Sgr","E","0.284271","18.381 (1.111) Ic"
"OGLE-BLG-ECL-346186","--","18 10 36.47 -26 19 38.5","Sgr","E","6.625851","19.333 (1.100) Ic"
"OGLE-BLG-ECL-346206","--","18 10 36.61 -32 53 13.5","Sgr","E","1.720433","17.314 (1.732) Ic"
"OGLE-BLG-ECL-346233","--","18 10 36.80 -25 58 30.4","Sgr","EA","1.564683","17.887 (1.333) Ic"
"OGLE-BLG-ECL-346260","--","18 10 36.96 -29 36 23.4","Sgr","E","0.312122","19.414 (1.044) Ic"
"OGLE-BLG-ECL-346297","--","18 10 37.24 -24 51 01.6","Sgr","E","3.446264","17.741 (1.348) Ic"
"OGLE-BLG-ECL-346323","--","18 10 37.44 -30 50 45.2","Sgr","E","0.905132","19.286 (1.135) Ic"
"OGLE-BLG-ECL-346324","--","18 10 37.44 -28 37 52.5","Sgr","E","0.612184","19.023 (1.053) Ic"
"OGLE-BLG-ECL-346332","--","18 10 37.47 -25 43 16.7","Sgr","E","0.781463","19.233 (1.705) Ic"
"OGLE-BLG-ECL-346343","--","18 10 37.55 -32 35 17.6","Sgr","E","0.292645","19.527 (1.052) Ic"
"OGLE-BLG-ECL-346374","--","18 10 37.69 -23 07 51.7","Sgr","E","1.970986","19.039 (1.209) Ic"
"OGLE-BLG-ECL-346397","--","18 10 37.89 -31 53 01.7","Sgr","E","0.956543","13.796 (1.220) Ic"
"OGLE-BLG-ECL-346399","--","18 10 37.90 -30 10 06.6","Sgr","E","0.331433","18.506 (1.338) Ic"
"OGLE-BLG-ECL-346461","--","18 10 38.24 -32 25 29.2","Sgr","E","0.355882","19.727 (1.289) Ic"
"OGLE-BLG-ECL-346486","--","18 10 38.37 -25 24 46.1","Sgr","E","0.744506","19.603 (1.077) Ic"
"OGLE-BLG-ECL-346489","--","18 10 38.41 -30 02 41.8","Sgr","E","1.429030","17.171 (1.761) Ic"
"OGLE-BLG-ECL-346503","--","18 10 38.50 -24 15 25.7","Sgr","E","0.394619","19.513 (1.119) Ic"
"OGLE-BLG-ECL-346540","--","18 10 38.75 -27 00 10.8","Sgr","E","0.605272","19.962 (1.401) Ic"
"OGLE-BLG-ECL-346588","--","18 10 39.06 -27 09 17.2","Sgr","E","5.995813","19.605 (1.161) Ic"
"OGLE-BLG-ECL-346590","--","18 10 39.07 -32 53 11.7","Sgr","E","2.761793","16.536 (1.248) Ic"
"OGLE-BLG-ECL-346632","--","18 10 39.40 -31 45 30.6","Sgr","E","1.001511","16.893 (1.777) Ic"
"OGLE-BLG-ECL-346662","--","18 10 39.55 -29 39 52.1","Sgr","E","3.802973","16.630 (1.483) Ic"
"OGLE-BLG-ECL-346665","--","18 10 39.57 -27 28 32.8","Sgr","E","0.480061","18.473 (1.045) Ic"
"OGLE-BLG-ECL-346700","--","18 10 39.89 -28 49 10.8","Sgr","E","0.364378","18.874 (1.462) Ic"
"OGLE-BLG-ECL-346708","--","18 10 39.95 -30 00 38.8","Sgr","E","0.979986","17.697 (1.252) Ic"
"OGLE-BLG-ECL-346765","--","18 10 40.36 -32 44 24.2","Sgr","E","0.431995","18.940 (1.156) Ic"
"OGLE-BLG-ECL-346796","--","18 10 40.58 -31 51 26.3","Sgr","E","0.378835","19.678 (1.257) Ic"
"OGLE-BLG-ECL-346836","--","18 10 40.93 -26 51 34.2","Sgr","E","0.409492","19.573 (1.696) Ic"
"OGLE-BLG-ECL-346844","--","18 10 40.98 -29 33 45.1","Sgr","E","0.422318","18.983 (1.033) Ic"
"OGLE-BLG-ECL-346856","--","18 10 41.06 -33 03 22.1","Sgr","E","1.737936","16.858 (1.126) Ic"
"OGLE-BLG-ECL-346867","--","18 10 41.10 -31 16 35.9","Sgr","E","0.716131","17.942 (1.070) Ic"
"OGLE-BLG-ECL-346920","--","18 10 41.42 -26 23 49.8","Sgr","E","10.616435","18.642 (1.109) Ic"
"OGLE-BLG-ECL-346938","--","18 10 41.56 -28 08 31.4","Sgr","E","6.493957","16.319 (1.401) Ic"
"OGLE-BLG-ECL-346951","--","18 10 41.69 -23 27 44.6","Sgr","E","2.648138","19.318 (1.870) Ic"
"OGLE-BLG-ECL-346960","--","18 10 41.75 -26 33 38.1","Sgr","E","0.699434","19.111 (1.293) Ic"
"OGLE-BLG-ECL-346968","--","18 10 41.79 -26 48 20.1","Sgr","E","0.358185","19.471 (1.184) Ic"
"OGLE-BLG-ECL-346971","--","18 10 41.82 -34 43 17.9","Sgr","E","2.487746","16.279 (1.472) Ic"
"OGLE-BLG-ECL-346976","--","18 10 41.84 -27 55 35.0","Sgr","E","1.853892","17.079 (1.073) Ic"
"OGLE-BLG-ECL-346979","--","18 10 41.87 -27 56 36.7","Sgr","E","0.342204","18.791 (1.261) Ic"
"OGLE-BLG-ECL-346999","--","18 10 42.06 -28 25 35.1","Sgr","E","0.500682","18.475 (1.380) Ic"
"OGLE-BLG-ECL-347006","--","18 10 42.11 -29 05 06.4","Sgr","E","0.303233","19.230 (1.131) Ic"
"OGLE-BLG-ECL-347035","--","18 10 42.40 -28 47 08.7","Sgr","E","0.533560","18.874 (1.178) Ic"
"OGLE-BLG-ECL-347049","--","18 10 42.50 -28 05 43.4","Sgr","E","0.364028","19.811 (1.096) Ic"
"OGLE-BLG-ECL-347050","--","18 10 42.51 -28 29 19.0","Sgr","E","0.401861","18.689 (1.108) Ic"
"OGLE-BLG-ECL-347057","--","18 10 42.54 -27 35 38.8","Sgr","E","0.687658","17.378 (1.139) Ic"
"OGLE-BLG-ECL-347109","--","18 10 42.94 -27 11 56.3","Sgr","E","0.327901","19.238 (1.005) Ic"
"OGLE-BLG-ECL-347114","--","18 10 42.99 -28 03 41.8","Sgr","E","0.710413","18.843 (1.103) Ic"
"OGLE-BLG-ECL-347156","--","18 10 43.27 -28 30 12.1","Sgr","E","0.314058","19.334 (1.443) Ic"
"OGLE-BLG-ECL-347230","--","18 10 43.85 -30 17 43.0","Sgr","E","1.468944","17.325 (1.563) Ic"
"OGLE-BLG-ECL-347258","--","18 10 44.06 -25 53 13.1","Sgr","EA","2.692014","17.075 (1.040) Ic"
"OGLE-BLG-ECL-347268","--","18 10 44.14 -31 02 47.7","Sgr","E","0.399836","19.167 (1.168) Ic"
"OGLE-BLG-ECL-347275","--","18 10 44.17 -27 46 36.2","Sgr","E","5.145351","19.497 (1.338) Ic"
"OGLE-BLG-ECL-347280","--","18 10 44.22 -26 20 05.5","Sgr","E","0.440370","19.331 (1.547) Ic"
"OGLE-BLG-ECL-347297","--","18 10 44.33 -28 51 22.8","Sgr","E","1.416271","18.417 (1.009) Ic"
"OGLE-BLG-ECL-347307","--","18 10 44.43 -28 45 56.6","Sgr","E","0.380551","19.409 (1.011) Ic"
"OGLE-BLG-ECL-347328","--","18 10 44.60 -34 33 45.8","Sgr","E","1.124820","16.503 (1.130) Ic"
"OGLE-BLG-ECL-347364","--","18 10 44.86 -25 23 04.8","Sgr","E","1.855601","16.908 (1.066) Ic"
